parameter,PRCC,CI95_low,CI95_high,p_value,Sobol_S1,Sobol_ST
r_H,-0.9407136091785789,-0.9472895387038748,-0.9326409759177844,0.0,0.7929193363628272,0.8273149159885529
xi,0.7367110689214175,0.7136004109126246,0.7598204779747832,3.861893894189432e-256,0.05630838151099971,0.04985707982854624
GPX4,-0.22505215818013935,-0.27470339354357043,-0.17300095284094644,1.2449057972505096e-18,0.018751744541723563,0.023215054091705913
ROS,0.7206630821952803,0.6916738039347601,0.7478304379079798,6.016615259979889e-240,0.07465246547646494,0.12422690760384474
Fe2,0.5171228593542649,0.478190574662966,0.5554551721487493,4.454340594475419e-103,0.03290871484381069,0.04375411755871967
